,Title,Description,Keywords,Categories,Stakeholders,Importance,Methdologies,Timeframes,Program,Miscellaneous,Author,History
11,Text Input with AR Head Mounted Displays,"Most AR experiences developed for mixed-reality head-mounted displays require some level of user interaction, such as text input, gestures, or voice input. While voice is the quickest method for a user to control and interact with digital assets, it is prone to error thanks to varying speaking styles, accents, and emotions. It is also not well suited to noisy industrial environments. Text input is typically conducted through hand or finger gestures or a handheld clicker with a virtual QWERTY keyboard. Research examining user performance reveals that both methods are cumbersome, with an average of 5-6 WPM. (For comparison, typical typing speeds on mobile devices range from 30 to 50 WPM.) This performance level is unacceptable for continued and effective use in the workplace. In addition, users may feel fatigued after holding their arm in compromising positions for extended periods of time.

User acceptance and satisfaction is critical and a common struggle among developers of alternate keyboard design, even outside of the HMD/AR domain. The QWERTY keyboard, for example, has been shown to result in slower performance than alternative designs, but the general public is unwilling to relearn a new method.

This research topic involves the study of alternate methods of text input to develop methods with higher performance and user satisfaction. The approaches to be studied include the design of a virtual keyboard and advancing the algorithms behind the keyboard predictive text functionality and user interaction (i.e., tap gesturing vs trace, eye gaze input).

","text entry, text editing, virtual keyboard, trace input, user experience, sensory perception, text analysis, gesture recognition, keyboards, speech-based user interfaces","End User and User Experience, Displays, Technology","Developers, operators of machinery, all users of AR experiences requiring user input of text, performance and quality control managers","- Almost all AR experiences used with wearable displays require some level of user input of alphanumeric information. - - Improving input methods to increase the speed and quality of input so that it is easy to use, efficient, and not prone to error will provide for better user experiences and more widespread AR acceptance.","Researchers interested in this topic may examine the efficacy of the virtual keyboard design itself, the method of user interaction (speech, gesture type), or the predictive text algorithms used. A combination of objective measures (e.g., time (WPM), error rates) as well as subjective measures (e.g., user satisfaction, acceptance, preference among methods, likelihood to use) should be examined.",Medium,This topic examines the overall issue of text input using AR experiences and interfaces with a wearable AR display device. It is expected that researchers will examine one of the aforementioned methodologies and not all in a single study. The research is best done in controlled environments to determine optimal performance before generalizing to applied settings. Time and motion studies could be employed for performance assessment/metrics. Interviews and surveys are needed to explore user acceptance of different text input options.,User performance and subjective data of text input using a HoloLens device can be seen in https://journals.sagepub.com/doi/pdf/10.1177/1071181319631279/[this article].,ERAU Team,2021-08-31
12,Facilitated User Interactions for Selecting and Manipulating 3D Models in AR,"Computer-generated models and models derived from scans of objects are increasingly part of product designs and testing activities. They are also valuable in diagnostics, and guiding assembly, repair and maintenance procedures. Today, many AR experiences use only 2D targets and display 2D line drawings, text, and images. However, in the future 3D models will increasingly be used for object recognition, tracking, and registration of experiences. Models will also be displayed over real-world objects for instructions or ""hanging"" in space when two or more collaborators need to examine the same object. Users will need to manipulate and interact with the models.

Unfortunately, the tools (e.g., pointing devices) and conventions (e.g., gestures and voice commands) for the selection and manipulation of 3D models in AR are unfamiliar and challenging for users. Most models lack clearly labelled anchors, handles, and other indicators that would reduce the barriers to user interactions. When there are multiple models in a scene, users may be unable to select one for closer examination. Users must learn advanced techniques and concentrate to perform simple manipulations such as open, close, and hide, not to mention advanced manipulations such as rotate, scale (enlarge and shrink), attach, move to back, move forward and other actions that may increase the value of a model in AR experiences.

This research topic focuses on the design, development, and evaluation of computer-human interactions and computer graphic techniques to improve the ease-of-use of 3D models in AR experiences. When research results are published in peer-reviewed journals, there will be greater diversity in solutions and more innovation based on a deeper understanding of the options and trade-offs involved.

","3D models, selection, manipulation, anchors, labels, handles, rotation, scale, attach, human computer interaction, computer human interaction, computer graphics, computer human interaction, computer graphics","Technology, End User and User Experience","This research is relevant to designers and managers of enterprise 3D assets, 3D asset platform publishers, AR experience developers, AR program managers, and AR authoring platform publishers.","- AR experience developers and employees in AREA customer segment companies will have many use cases involving the selection and manipulation of 3D models. However, the acceptance and value of 3D models will be low until there are improvements in how models are prepared, presented and manipulated during AR experiences.
- The proposed research topic will benefit AREA members by increasing 3D model usability, lowering cognitive load, and increasing the impact of 3D models in the workplace.","The research will build and publish a set of 3D models that objectively represent what would be used in workplace settings where AR is used. The models will be designed with features such as anchors and handles. Studies will compare approaches developed in commercial software for 2D screens with those proposed in AR and VR game engines and experience authoring platforms. In laboratory settings, users will be given tasks to perform with 3D models while using different models of wearable AR displays. In addition to time-motion studies and ergonomics, user testing will measure strain and cognitive effort when performing tasks that require model selection and manipulation.",Near,"This research topic could be combined with studies of 3D capture, computer graphics, and 3D model registration and annotation. Research pertaining to AR user interfaces and interaction could also be extended to include 3D model selection and manipulation. The study of hand tracking would contribute to exploring use of gestures for simple and advanced model usage.","Microsoft has published several papers and best practices on this for HoloLens, hand tracking, and gestures, but these are exclusively implemented in one platform and there has not been extensive comparison using quantitative methods. This topic was proposed for consideration in 7th AREA research project topic call and received high member interest and support.",Christine Perey,2021-08-31
13,What Factors Influence Perceptions of Presence?,"Presence is a term used to describe the ""feeling of being there"" in a virtual environment. It can be cognitive, in that the user's mind is engaged in the virtual content, or it can be perceptual, in that the user's sensory systems perceive the virtual environment to be ""real."" In Augmented Reality (AR), this is represented by a seamless integration between the physical and virtual worlds.

A question that arises in this area of research is what factors of the virtual environment influence the perceptions of presence? Is there a minimum amount of virtual information needed in an AR environment? Does the level of fidelity of the virtual elements influence the reported experience of presence? For example, will an application that uses realistic 3D models result in higher levels of presence than lower fidelity (i.e., cartoon) 3D models?

In VR worlds, the user is immersed into a completely virtual world, so presence is likely to be experienced if the application is successfully implemented. In AR environments, users are exposed to virtual elements in addition to their physical surroundings. If a user has to switch their attention between the two worlds to complete a task, the result can be disruptive and/or fatiguing due to the lack of presence. If the user can complete the task as if the virtual elements are part of the physical world, the result is a seamless, productive experience that includes presence. It also is possible that lower fidelity serves as a distraction to the user, which may result in breaks in immersion and a reminder of the artifical nature of the virtual world. This could, in turn, impact their sense of presence.

A practical example of this issue is with the use of avatars in collaborative environments. How is presence affected by the appearance and customization of the avatars? If a user pays attention to a particular feature or abnormality due to low fidelity rendering, it may impact their ability to perform the task at hand. Another example may be dynamic elements in the virtual world, such as a bouncing ball or a spinning tire. How distinguishable, in appearance and in behavior, the object is from its physical counterpart may influence the level of reported presence.

The main research question in this area is ""How much virtual information of what fidelity is necessary in an AR environment to produce a sense of presence?"" This question is of interest at both ends of the quantity spectrum -- how much is enough, and how much is too much? Too little and the user will not experience presence; too much and the user may become so immersed in the virtual elements that awareness of the physical world may be compromised.

This research topic involves the examination of AR environments with differing amounts of virtual elements at different levels of fidelity and the measurement of presence among users.

","presence, immersion, awareness, realism, cognitive tunneling, mental workload, seamless experience, high fidelity, low fidelity, realism, avatars, object interaction, display technology, presence, interactive computer graphics, user experience, cognitive systems, sensory perception, avatars, computer graphics, color computer graphics, holographic displays, animation, image quality","End User and User Experience, Industries, Technology","Developers, users, operators, users of collaborative virtual environments

# Position on X and Y axes (1-5)","- AREA members will benefit from having new ways to define effective AR application environments from the end user perspective.
- Deeper understanding of presence and when immersion is broken will reduce how frequently an operator must shift their attention, which may cause cognitive tunneling associated with decreased awareness of critical elements in either environment, higher perceptions of mental workload, safety issues, and decreased productivity.
- Understanding the level of fidelity necessary to achieve optimal presence will help AR developers know the appropriate effort and resources to invest in specific use cases.
- The research will also assess if and how impact of fidelity may also be task dependent. For simple assembly tasks, for example, the level of fidelity may matter less than for collaboration tasks where several avatars work together to solve a problem.","Presence tends to be a self-reported measure assessed by means of a questionnaire. Physiological measures also may be explored to correlate with reported presence, engagement, and satisfaction. These measures could be systematically compared across environments of varying complexity in terms of number of virtual stimuli for a variety of tasks.",Medium,This topic is related to other proposed AREA Research Agenda topics on display technology and user perceptions and satisfaction.,An interesting article related to the amount of physical space in which AR application is used can be found https://ieeexplore.ieee.org/document/8943577/[here].,ERAU Team,2021-08-31
14,Impact of Individual Differences and AR Display Comfort on User Acceptance,"Head-mounted AR display devices are getting lighter and more comfortable. However, users may still perceive the weight on their necks and find the devices cumbersome to don and doff, as well as finding them hot after extended periods of use. Head sizes, head shapes, visual acuity, inter-pupillary distance, and the use of corrective lenses or safety glasses/safety helmets all affect users' comfort and ease of use. While advances in the technology that accommodate wider ranges of users are rapidly being deployed, industry adoption can be hampered by poor user acceptance due to general discomfort.

This research topic examines impacts of individual differences on user satisfaction and acceptance of a variety of HMD devices in the workplace.

","comfort, eye strain, fatigue, simulation sickness, heat tolerance, headgear weight tolerance, subjective testing, behavioral research, thermal comfort, environmental factors, comfort","End User and User Experience, Industries, Technology","Developers, users, operators, users of AR head mounted displays (HMDs)","- User acceptance of new form factors in display technologies is critical to AR adoption. Since comfort is known to impact user acceptance of AR in the workplace, all obstacles need to be identified and accommodations made for individual preferences and features.
- Understanding individual differences also contributes to the understanding of OEM and designers about which differences remain to be addressed by the various HMD technologies.","Comfort can be measured both objectively and subjectively. Objective measures include pupil diameter to assess workload or cognitive effort, EEG, and GSR. Subjective measures include Likert scales querying perceived comfort, exertion (i.e., Borg Scale or Perceived Exertion), assessments of HMD weight, thermal comfort, acceptable length of use, and general acceptance.",Medium,This topic is potentially related to another proposed AREA Research Agenda topic on Users and User Experience [Einput-textinput] in that comfort is a key component to user acceptance of various text input methods. The topics could be combined with other AR End User and User Experience topics to develop a full research program.,An interesting article regarding the design decisions of the HoloLens 1 to accommodate individual differences https://sid.onlinelibrary.wiley.com/doi/pdf/10.1002/sdtp.11586?casa_token=i1x9dRJa2tAAAAAA%3AmnQU3ckNbdunIDNe4G8uxoLfe87YwzEpS7Ti1G0N9L76PgNLHarmCNusU9C9U9ucswKxB3wtRUFUdyM/[can be found here].,ERAU Team,2021-08-31
15,Visualization of Targets Invisible Due to Atmospheric Conditions,"When conditions prevent mechanical or visual scanning of environments and providing of situational awareness using vision-based technologies, there need to be alternatives. The goal of this research is to provide users (decision makers such as pilots, drivers of cars or vehicles, operators of equipment at night or in blizzard conditions) an accurate visualization of the real-time conditions of a moving machine (e.g., automobile, aircraft, tank, truck) when the surrounding atmosphere is entirely or nearly opaque or the light conditions are not favorable for use of vision-based sensors.

Although identified/scored as an aviation-industry specific topic, the scope of this topic is very broad and results could be applied in many industries (e.g., automotive). The topic spans everything from the use of non-visual sensors (e.g., sonar) for depth to the development of new computer-human interfaces for 3D data visualization.

","situational awareness, night vision, non-visual scanning in real time, aviation and aerospace, military, reconnaissance, occlusion, depth of field, automotive, sensor fusion, data layers, ToF (Time of Flight) sensors, computer vision, autonomous vehicles, user experience, night vision, aircraft navigation, avionics, aircraft displays, air navigation, aircraft detection, automotive, user experience","Industries, Displays, Technology","AR experience developers, operators and owners/users of commercial, private or military aircraft","- Almost all existing AR products for outdoor situational awareness rely on RGB or RGBD cameras for real-time environment acquisition, yet the visualization of obstacles or other salient features of the physical world in atmospheric conditions unsuitable to vision-based sensors cannot serve as the basis for decision making for users.
- AREA members with use cases in industries that could use AR in environments with low visibility are not currently able to reliably deploy the technology.","Acquisition and/or development of lightweight and power-efficient infrared sensors that are effective as alternatives to cameras and existing vision-based environmental capture. Testing and development of 3D interaction modes when user's natural vision is impaired. This research topic could explore IR sensors (which measure differences in temperature, also known as ""thermal imaging""), as well as new alternatives.",Medium,"This topic of research overlaps with the topic of using AR to visualize any stationary or moving object in low-visibility conditions. The outcomes of this research could also be applied in non-industrial use cases (e.g., skiing or other sports in low visibility-conditions). The same research topic could be combined with study of user interfaces and interaction paradigms for the visually impaired community.",The use of night vision technologies is widespread in the military/defense industry. There have also been studies of the use of AR for https://sciencebusiness.net/network-news/air-traffic-control-improved-augmented-reality[air traffic control].,Christine Perey,2021-08-31
16,Visualization of Temperature Sensor Data in AR for Emergency Response,"The use of thermal imaging data from handheld devices for identification of bodies in smoke-filled spaces has been in use to save lives for decades. This topic is not intended to study that use case. Several companies have successfully integrated the thermal imaging sensors into commercial PPE (""smart helmets"") worn by emergency responders.

This research topic will instead focus on advancing the state of the art of thermal vision. There could be extension of the types and size of thermal imaging technology suitable for including in AR-assisted emergency responses equipment. Currently, thermal imaging produces data in only 2D. Research into visualizing the heat source in 3D will be beneficial. In addition, the research should explore different methods for users to interact with the data displayed on their helmets, new and novel methods of distinguishing between heat-emitting sources detected using thermal imaging and combining the information about a building's floor plan with the thermal imaging to trace safe routes to use when reaching targets under time constraints.

","thermal imaging, 3D data visualization, smart helmets, Personal Protective Equipment, fire fighting, route tracing, 3D data interaction, public safety, ","Industries, Displays, Technology","While the emergency responder and military use cases are the clear beneficiaries of this research topic, there are also applications in automotive, such as displaying to a driver moving or stationary wildlife along a road side or forklift drivers ""seeing"" the thermal image of pedestrians in a warehouse or in a manufacturing environment. Additional imaging could prevent hazardous interactions. Similarly, when mounted in field equipment, the AR display can alert a driver to the presence of people or animals in the path of the equipment. When the technology is miniaturized and highly reliable, it may be used in enterprise AR use cases including but not limited to medical industry or animal husbandry for diagnostics and therapeutics. If the cost and size of the technologies is sufficiently low, the feature could be used for non-industrial applications, such as in games or education.","- When AR displays with thermal imaging are widely available for enterprise users, AREA members in government, automotive, aviation, medical, agriculture, and other industries will find it valuable to have more use cases for their AR investments.
- Adding new and diverse sources of live data to an AR display can increase cost and power use, but also introduce new use cases for AREA members.","The study of thermal imaging and design of new sensors for heat mapping will involve expertise in physics and engineering. Adapting new sensors to fit the AR display form factors for prototyping and user testing will require skills in electromechanical domains, semiconductors, and industrial design. In addition to research about thermal sensors, there will need to be research on user interaction with 3D thermal images.",Medium,"This topic can be combined with studies of other sensors that permit users to visualize through water, atmospheric conditions, and physical obstructions (e.g., walls). The study of sensor integration could also be extended to span visualization of a user's vitals (heart beat, blood pressure, etc.) and 3D interactions.","This topic was the focus of work by students at EPFL (Switzerland) in 2015. The students working on this project https://actu.epfl.ch/news/augmented-reality-for-firefighters/[developed a thermal imaging smart visor] in 2016.

There was also a http://fayez.me/papers/ICIP-2018-Paper.pdf[peer-reviewed journal paper] published by one of the EPFL faculty working on the above project in 2018.

In 2019, Darix, the start-up that was created out of the EPFL research, https://actu.epfl.ch/news/ic-spinoff-darix-acquired-by-bullard/[was acquired by Bullard].

Longan Vision, another company in this field, has been https://spectrum.ieee.org/the-institute/ieee-member-news/startups-thermal-imaging-and-ar-system-for-firefighters-joins-the-covid19-fight[adapting their system for Covid].",Christine Perey,2021-08-31
17,AR for Crop Preservation in Food-Insecure Countries,"Food and nutrition security remains a huge challenge across the globe, particularly as the frequency of extreme climate events increases. The Integrated Food Security Phase Classification (IPC) indicates the level of hunger/starvation present in a particular country or region due to insufficient crop supply. The Food Security and Sustainable Agriculture (FSSA) ""resilience-building thematic mechanism aims to ensure the complementarity of instruments for high-impact aid. It had an indicative budget of €525 million over the 2014-2020 period."" Additionally, ""sustainable food security"" remains a priority for the world economy, with the EU Project Horizon 2020 work programme identifying the following immediate needs for further research and innovation:
- Identification of tools and methods, mainly at the farm level for soil remediation and balanced fertilizers application;  +
- Identification of agricultural system approach that can enhance quality of soils for food production; +
- To raise public awareness about soil as a crucial global resource; +
- Enhance EU-China long-term cooperation in land use optimization for global food and environmental security.

This research topic focuses on how AR can be used to permit farmers to investigate their crops, while layering additional information such as water saturation metrics from IoT data, as well as even potentially an AI component that could categorize types of erosion and/or plant disease and provide real-time feedback with regards to required human intervention. The use of AR in agriculture could be adopted or subsidized by fertilizer corporations, water providers, and other members of an agriculture ecosystem. When those in the field use AR, providers of products and services would be able to connect from a distance and provide real-time advice for farmers and other end-clients.

This study would aim to specifically measure the impact of data-informed AR on crop preservation, particularly in food-insecure countries.

","United Nations, Sustainable Development Goals, sustainability, policy, education, skill development, socio-economic effects, artificial intelligence, IoT, crop preservation, farming, agriculture, water preservation, social aspects, social and economic effects","Business, End User and User Experience, Industries","Government officials and policymakers in World Bank Group and UN nations, social performance and impact executives in large, global organizations, particularly those with a large social license to operate, sustainability/innovation groups in large corporations, executives and sales teams in agriculture","- AR can provide a vital channel with which to establish a vibrant food production ecosystem positioned to support and connect farmers across the world.
- Large impact can be made by utilizing existing soil/plant photography databases and AI-driven, AR-facilitated guidance, as well as incorporation of IoT data pertaining to water availability, as many food-insecure nations experience hardship associated with frequent drought.
- AR is a unique delivery format that is highly conducive to providing increased accessibility for remote, rural farmers and lowers traditional barriers associated with varying literacy levels, etc.,
- Introduction of AR opens up a myriad of possibilities with regards to establishing and expanding markets.
- There is likely to be substantial interest within local governments as well as amongst corporate entities supporting the UN 2030 Sustainable Development Goals. There is also great potential for interest amongst providers within the broader agriculture value chain.","The proposed research would need to enroll and engage rural farmers in food-insecure areas, preferably those in which agriculture is practiced in remote or at-risk locations (e.g. retired mine site, etc.). The research would also need to develop or expand and leverage databases of photos for local plant and soil conditions.

Rural farmers would need to be onboarded into technology pilots, and potential ecosystem partners (e.g. water providers, fertilizer providers, etc.) would need to be identified. The principal investigator would develop partnerships with a host corporation and community. Research would include IoT data pre- and post- introduction of AR intervention via A/B trial scenarios, potentially with a few different levels of AR intervention. Then researchers would collect data about post-intervention behaviors and crop status.

Post-study outcomes could be analyzed and recommendations developed for future implementation.",Near,"This study could also be extended to explore benefits in the mining industry, when mine sites are retired, as AR could help companies ensure that the communities in the process of transitioning to different revenue sources have the tools that they need to ensure the sustainability of the land post-asset. Additionally the research methods could be extended or support other research programs associated with metals and mining, water preservation, education, policy, upskilling, and sustainability.",https://ec.europa.eu/research/participants/data/ref/h2020/wp/2018-2020/main/h2020-wp1820-energy_en.pdf[Crop preservation research recommendations] published by the European Union provide support for this research topic.,Jennifer Rogers,2021-08-31
18,Remote Plant Design and Onboarding with AR,"As research and development centers increasingly focus on implementing scalable industrial solutions on a global scale, it is difficult to ensure that, once new technologies are created and tested in a constrained environment, subject-matter experts can always travel to all the required plant locations.

Remote assistance or collaboration with AR-enhanced local technicians permits subject-matter experts to view a new installation and to support local staff with operation of new technology onsite. Remote experts may advise local users and, where necessary, support specific operational decisions that must be taken rapidly due to the specific site configuration and requirements (e.g. best equipment layout to drive operational efficiency, adjustments due to specific environmental requirements or regulations, etc.).

This research topic seeks to specifically measure time and cost benefits to new site operational readiness, as well as initial operational effectiveness, associated with AR- and non-AR assisted technology commercialization projects.

","Operational readiness, Operational effectiveness, Research and development, R&D, cost effectiveness, cost reduction, industrial research. technology, remote operations, decision support systems, failure, indicators, just in time, mixed realities, optimisation","Business, End User and User Experience, Use Cases","This research will provide operational excellence professionals, chief operating officers, safety and risk professionals, and plant managers quantitative information that will permit them to make better decisions about where and how to introduce AR in plants.","- Providing real-time support around decision-making associated with plant design and start-up via AR could decrease time to productivity and safe operational ramp-up.
- AR-enabled plant design systems could increase global commercialization of new technologies at a lower cost than traditional methods that rely heavily upon travel and availability of subject-matter experts and these experts must have familiarity with local languages, customs, and practices.
- Due to limited travel associated with COVID this is of particularly high interest, and could be of great significance to increased efforts to scale up vaccine manufacturing operations (and perhaps even distribution) across the globe.",The proposed research would need to identify key operational decisions and processes required for transfer from R&D to on-site operations. Research would measure time and cost to site operation with AR-assisted intervention and compare to known historical ramp-up times and costs.,Near,"This study could link closely with existing research programs associated with metals and mining, oil and gas, aerospace, manufacturing, and operational excellence in general.","Example of use cases:
https://www.cidrap.umn.edu/news-perspective/2021/02/who-pushes-covid-vaccine-production-scale-more-sharing +
https://apnews.com/press-release/pr-newswire/business-technology-lifestyle-products-and-services-jewelry-0c4c7956edd2d3f918f330a29ef59567 +",Jennifer Rogers,2021-08-31
19,"Cargo Container Loading, Inspection and Management with AR","Containers play an important role in the transportation of goods by sea and air. There are a variety of ways that AR can assist employees to track and manage containers on a vessel, airplane or in port. Where there are risks there are also opportunities. By having information about the status of containers, as well as the weight, shape and type of contents of containers in an AR-ready database, technicians can make better informed decisions.

An example of this is cold chain management. Containers with climate control are used to preserve and to extend and ensure the shelf life of products, such as fresh agricultural produce, frozen food, chemicals, and pharmaceutical products. Depending on the specific product, other physical parameters of the chain may also be regulated, (e.g. CO2/oxygen level, humidity and others).

Cold chain governance requires continuous monitoring and/or RFID tags to document the temperature history down to the container level. If a cold chain breaks, it is paramount to identify effected cargo as such and remove it from further shipping as soon as possible. Head mounted displays, or handheld devices can track unloading cargo and - pulling the data from the container’s data logger - visually identify non-compliant containers. This visualization allows for an efficient way of isolating non-compliance or other mismatches.

Stowage is another example. When loading merchant vessels, air cargo, or another shipping instrument, weight distribution is carefully calculated and loading is planned accordingly. These stowage plans are critical to vessel stability therefore compliance is very important. Although stowage or loading plans are delivered by various software tools, execution is dependent on human interaction.

Head mounted displays, handheld devices or stationary cameras can track loading cargo using computer vision, container marking (e.g. QR codes), RFID or other dedicated sensor networks. When loading is finished, cargo distribution can be projected on a digital representation of a vessel. This visualization allows for an efficient way to identify potential non-compliance or other mismatches leading to lower efficiency or risks.

This research topic focuses on documenting use cases for enriching the interactions that AR-enabled technicians, on board, during loading and in port, can have and decisions they may make when receiving and using accurate and up-to-date information about containers and their contents. As the professionals move about within and around containers when loading, inspecting, maintaining or repairing commercial containers, they will be more productive, and security and safety policy compliance can increase.

","marine, logistics, shipping, freight, cold chain, commercial shipping, containers, tracking, ships, cargo airplanes, technicians, port operations, cargo loading, inspection, safety, security, stowage plan, loading order, weight distribution, track and trace, sensors, data fusion, cargo, marine, ships, buoyancy, ambient intelligence, mechatronics, internet of things","Industries, Business, Technology","Operators of any cargo service including but not limited to shipping services, pilots, naval captains, shipping operations managers, quality managers, security managers, workers performing repair and maintenance on shipping containers, port operations, customs agents","- Many AREA customer segment members produce and distribute products globally. Some products are sensitive and must be shipped under controlled conditions.
- Other AREA members build and/or operate fleets of vessels (air, sea and land) and have operational responsibilities for the containers and their contents.
- AREA provider segment members producing software and display devices may wish to expand their offerings, based on precise use cases and requirements, in markets where the potential to impact safety, security and quality are high.","This research requires a team of experts intimately familiar with all aspects of the transportation of goods. The study of regional as well as global shipping patterns and technologies will be followed by development of prototypes and testing in a variety of settings. In field usability trials, with service professionals can reveal new requirements and opportunities for AR-assisted and IoT connected containers to reduce risk and increase productivity.",Medium,"This topic or theme of research overlaps with other topics pertaining to management of goods and services and use cases that benefit from users being able to quickly obtain information about any closed but connected container on land or sea. Research can be combined with assessments of accuracy at a distance from the target. The study of AR in commercial ports could have impacts on customs clearance and compliance with regulatory policy (e.g., safety, duties, etc).","Western Container Sales, a container retailer, https://westerncontainersales.com/augmented-reality-shipping-container/[offers AR experiences for prospective customers].","Christine Perey, Peter Orban",2021-08-31
20,Visualization of Anything of Interest Below Water Surface,"When conditions prevent visual scanning of environments and providing situational awareness using vision-based technologies, there need to be alternatives. The goal of this research is to provide users (decision makers such as operators of any boat or underwater craft) an accurate visualization of the real-time conditions of an operating (moving) machine (e.g., boat, submarine) when the visibility prevents reliable use of vision-based sensors.

Although identified/scored as a marine industry specific project, the scope of this topic is very broad and results could be applied in many industries. The topic spans everything from the use of non-visual sensors (e.g., sonar) for depth to the development of new computer-human interfaces for 3D data visualization.

","situational awareness, night vision, non-visual scanning in real time, marine, rescue, emergency response, autonomous underwater vehicles, marine navigation, marine radar","Industries, Technology","Developers, operators and owners/users of commercial, private or military water craft",- Almost all existing products for situational awareness rely on RGB or RGBD cameras for real time environment acquisition yet the visualization of obstacles or other salient features of the physical world are important and would serve as the basis for decision making for users when operating equipment in conditions unsuitable to vision-based sensors.,A research platform would be designed of lightweight and power efficient sensors that are effective as alternatives to cameras and existing vision-based environmental capture. The research would test and develop 3D interaction modes when a user's natural vision is impaired.,Medium,"This topic or theme of research overlap with the topic of visualizing conditions in the direction or on the path of any moving object. The outcomes of this research could also be applied in non-industrial use cases (e.g., scuba diving or other sports in low visibility conditions). The same research topic could be combined with study of user interfaces and interaction paradigms for the visually-impaired community.",None,Christine Perey,2021-08-31
21,Adoption of AR in Metals and Mining Value Chain,"As an industry that has thus far been slower to adapt to automation, mining finds itself at a crossroads with regards to the recent COVID pandemic, in that companies must redesign working environments to accommodate for the a) lack of available on-site skilled labor available to sustain current operations, b) mandates to reduce proximity of individuals, and thus number of crew members on site, and c) retraining and upskilling of current workforce as automation accelerates.

This research topic aims to describe the manner in which employment and crew models can be reconstructed to reduce risk to the overall mining value chain and preserve operational targets so as to prevent wide-scale economic impact to the world economy.

","metals and mining, employment, recovery, COVID, crew models, remote operations, risk reduction, human resources, metalworking, ore treatment,","Industries, Business, End User and User Experience","Economists, government officials in countries with heavy mining production, senior executives in metals/mining, HR professionals, social performance professionals, and operational excellence professionals will be impacted by this research.","- Mining is an industry that is incredibly important to the world economy and has been challenged greatly by the recent COVID pandemic. Lessons learned tell us that the industry needs to do a much better job of preparing for ""black swan"" events and the challenges that it presents to the entire mining value chain.
- By identifying crew models that reduce physical proximity and allow for reduction of risk across the mining value chain, many recommendations recently put forth by the Intergovernmental Forum on Mining, Minerals, Metals, and Sustainable Development can be immediately put into practice.",Survey key stakeholders to identify areas of opportunity within the categories of employment and areas of mining value chain represented on page 3 of the IGF report (https://www.iisd.org/system/files/publications/covid-19-employment-mining-en.pdf). Construct a series of AR-assisted employment models to drive specific improvement and employment resilience across the mining value chain.,Near,"This study potentially links to another proposed study around impact of AR on Multidimensional Poverty Index (MPI). This study could link closely with existing research programs associated with remote operations support and decision-making, as well as any programs around business impact and measures. It also relates to AR as an upskilling mechanism to assist with employment during increasing industry automation.","From the IGF report, ""Large-scale mining plays a critical economic and social role in remote areas. Large-scale mining activities are localized in remote areas with underdeveloped or few major alternative economic sectors. Mining plays a critical role for host communities, where it is often the largest—if not the sole—job creator and provider of vital services, including a variety of social services, such as health care and education. Large-scale mining creates more business in host countries. Mining activities have significant multiplier effects on the local and national economy through the creation of indirect and induced employment and business opportunities. ICMM3 estimates those opportunities can contribute up to 15% of national income in certain countries."" This https://www.iisd.org/system/files/publications/covid-19-employment-mining-en.pdf[IGF Study] describes the issues facing the industry that could be addressed in part with adoption of AR.",Jennifer Rogers,2021-08-31
