Title,Author,Author affiliation,Source,Sponsor,Publisher,Volume and Issue,Pages,Issue date,Monograph title,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider,,,
"Proceedings of the 2019 International Conference on Mathematics, Science and Technology Teaching and Learning, ICMSTTL 2019",,,ACM International Conference Proceeding Series,Tsinghua University in Taiwan; University of Central Queensland; University of New South Wales; University of Technology Sydney,Association for Computing Machinery,,,28-Jun-19,"Proceedings of the 2019 International Conference on Mathematics, Science and Technology Teaching and Learning, ICMSTTL 2019",2019,,,,9.78145E+12,,,"2019 International Conference on Mathematics, Science and Technology Teaching and Learning, ICMSTTL 2019","June 28, 2019 - June 30, 2019",,"The proceedings contain 14 papers. The topics discussed include: improving learning through cloud-based mobile technologies and virtual and augmented reality for Australian higher education; the impact of educational microcontent on the student learning experience; exploring the relationship between OJT course performance and academic performance of computer science students in selected programming courses; the impact of big data on health care services in Australia: using big data analytics to categorize and deal with patients; comparison of effectiveness between contextual teaching and learning (CTL) and problem-based learning (PBL) approach on the interest of junior high school students; self-directed learning of student in mathematics education: is there any problem?; blended learning for bilingual math, science and technology teachers’ professional development in China; and periodic solutions of branched space from closed orbits under mixed perturbations.",,,,,,,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Extending conavigator into a collaborative digital space,"Murnane, Mark (1); Engel, Don (1); Freeland, Stephen (1); Boot, Lee (1); Jarzynski, Mark (1); Lindvig, Katrine (2); Hillersdal, Line (2); Earle, David (2) ","(1) University of Maryland, Baltimore County, Baltimore; MD, United States (2) University of Copenhagen, Copenhagen, Denmark ",Proceedings of the International ACM SIGGROUP Conference on Supporting Group Work,ACM SIGCHI,Association for Computing Machinery,,p 127-130,6-Jan-20,GROUP 2020 - Companion of the 2020 ACM International Conference on Supporting Group Work,2020,,,,9.78145E+12,10.1145/3323994.3369890,,"21st ACM International Conference on Supporting Group Work, GROUP 2020","January 6, 2020 - January 8, 2020",,"We present an extension of the existing CoNavigator collaboration system that allows for persistence of in-person collaboration sessions through a digitally projected overlay and camera system. This augmented reality environment allows participants in a CoNavigator session to resume from a previous session without having to laboriously recreate the physical state of the space manually. By combining features traditionally found only in digital space with the intuitive nature of a tactile physical environment, we hope to produce a tool that builds on the work of CoNavigator and lowers barriers to adoption while increasing efficacy. © held by the owner/author(s).",6,Augmented reality,Computer vision,Barriers to adoption - Camera systems - Collaboration - Collaboration systems - Digital space - Group work - Physical environments - Physical state,"723 Computer Software, Data Handling and Applications - 723.5 Computer Applications",,,,,Open Access,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
"Proceedings of the 2019 International Conference on Modern Educational Technology, ICMET 2019",,,ACM International Conference Proceeding Series,,Association for Computing Machinery,,,28-Jun-19,"Proceedings of the 2019 International Conference on Modern Educational Technology, ICMET 2019",2019,,,,9.78145E+12,,,"2019 International Conference on Modern Educational Technology, ICMET 2019","June 28, 2019 - June 30, 2019",,The proceedings contain 24 papers. The topics discussed include: research on the teaching mode of information technology course based on education cloud platform; research on teaching reform of compiling principle based on the cultivation of practical ability; the conceptual framework for applying digital community marketing and marketing practices into educational relationship marketing model of private technical high school in Taiwan; analysis of the influence of education app on the independent learning mode of junior middle school students; an empirical study of incorporation of augmented reality into civic education; and novel education technology may derive from personal genome data: a language gene polymorphism site potentially associated with translation-writing errors in a bilingual classroom of Chinese students.,,,,,,,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Research of virtual simulation experiment platform for marine auxiliary machinery based on VR/AR,"Shang, Lei (1); Chen, Jinsong (2); Gao, Qian (1); Hu, Fucai (2) ","(1) National Engineering Research Center for Water Transport Safety, Wuhan University of Technology, Wuhan, China (2) School of Energy and Power Engineering, Wuhan University of Technology, Wuhan, China ",ACM International Conference Proceeding Series,Association for Science and Engineering (ASciE),Association for Computing Machinery,,,22-Oct-19,"Proceedings of the 3rd International Conference on Computer Science and Application Engineering, CSAE 2019",2019,,,,9.78145E+12,10.1145/3331453.3361643,a64,"3rd International Conference on Computer Science and Application Engineering, CSAE 2019","October 22, 2019 - October 24, 2019",,"Aiming at the shortcomings in the current experimental teaching of marine auxiliary machinery, this paper develops a virtual experimental teaching platform for marine auxiliary machinery based on the emerging VR/AR (Virtual Reality/Augmented Reality) technology. This platform adopts 3Ds Max as modeling tool and Unity3D as virtual reality engine, realizes the multi-experiment-mode of marine auxiliary machinery cognition and virtual disassembly experiment under cloud service framework, this platform can be used on terminals such as PC, intelligent mobile devices, HTC Vive and HoloLens. In this paper, the framework design, developing environment construction, key technologies and operational effects of the marine auxiliary machinery virtual simulation experiment platform are elaborated. The practical application results show that the platform is easy to use and can motivate the enthusiasm of students. To a certain extent, it improves the effect of the marine auxiliary machinery experimental teaching and enhances practical ability of students. © 2019 Association for Computing Machinery.",12,Virtual reality,3D modeling - Human computer interaction - Machine design - Machinery - Marine engineering - Simulation platform,Environment constructions - Experiment platforms - Experimental teachings - Framework designs - Key technologies - Operational effects - Virtual reality engine - Virtual simulations,"601 Mechanical Design - 675 Marine Engineering - 723 Computer Software, Data Handling and Applications",,,"Number: 201809, Acronym: -, Sponsor: -; ",This research was supported by the National Water Transport Safety Engineering Technology Research Center Open Fund (201809),,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
An adaptive rendering framework for efficient synthetic light field generation,Liang-Chi Tseng (1); Wei-Chung Hsu (1) ,"(1) Nat. Taiwan Univ., Taipei, Taiwan ",ACM SIGAPP Applied Computing Review,,"ACM, USA","v 19, n 3",33-44,Sept. 2019,,,,1559-6915,,,10.1145/3372001.3372004,,,,,"Real-time global illumination rendering is very desirable for emerging applications such as Virtual Reality (VR) and Augmented Reality (AR). However, client devices have difficulties to support photo-realistic rendering, such as Ray-Tracing, due to insufficient computing resources. Many modern frameworks adopted Light Field rendering to support device displaying. A Light Field can be precomputed and stored in the Cloud. During runtime, the display extracts the color information from the Light Field to generate arbitrary real time viewpoints or re-focusing within a predefined area. To efficiently compute the Light Field, We have combined DIBR (Depth-Image-Based-Rendering) and traditional ray-tracing in an adaptive fashion to synthesize images. By measuring the color errors during runtime, we adaptively determine a good balance between DIBR and Ray Tracing. We study several cases and problems when combing these algorithms and came up with a more efficient solution. To further optimize the computation efficiency, we also added a multi-level design to exploit the degree of shareable pixels among images to control the computation for error reduction. In addition, we also design an efficient multi-threading scheduling to show the scalability of our approach. Experiments show that when the number of threads is small, we achieved up to 3.24X speedup in Light Field generation for relative simple scenes like Cornell Box, and about 2X speed up for complex scenes like Conference Room or Sponza. In the multi-thread environment, our proposed scheme can offer about 2X speedup over traditional ones.",,,multi-threading - ray tracing - rendering (computer graphics),adaptive rendering framework - real-time global illumination rendering - photo-realistic rendering - ray-tracing - light field rendering - depth-image-based-rendering - synthetic light field generation - multithreading scheduling,C6190P Parallel software - C6130B Graphics techniques,G06F9/46,Practical (PRA),,,,Inspec,"Copyright 2020, The Institution of Engineering and Technology",Engineering Village,,,
VR Tsunami!,"Jacoby, Derek (1); Coady, Yvonne (2); Dahl, Eric (2); Wynden, Andy (2); Richardson, Matt (2) ","(1) QVirt Labs, Inc, Victoria; BC, Canada (2) University of Victoria, Victoria; BC, Canada ","ACM SIGGRAPH 2019 Appy Hour, SIGGRAPH 2019",ACM Special Interest Group on Computer Graphics and Interactive Techniques (SIGGRAPH),"Association for Computing Machinery, Inc",,,28-Jul-19,"ACM SIGGRAPH 2019 Appy Hour, SIGGRAPH 2019",2019,,,,9.78145E+12,10.1145/3305365.3329728,a9,"ACM SIGGRAPH 2019 Appy Hour - International Conference on Computer Graphics and Interactive Techniques, SIGGRAPH 2019",28-Jul-19,,"The Mod Squad lab at the University of Victoria is focused on research that combines geospatial analytics, cloud computing, and Virtual/Augmented Reality. VR Tsunami is an example of Serious Gaming that uses the interaction styles of video games to engage students in learning outcomes. The experience is based on real data from a real tsunami event, provided on a range of devices to teach middle school students about emergency preparedness in areas of British Columbia that are prone to tsunami activity. © 2019 Copyright Held by the Owner/Author(s).",3,Serious games,Interactive computer graphics - Tsunamis,British Columbia - Emergency preparedness - Geo-spatial - Geospatial applications - Interaction styles - Learning outcome - Middle school students - Serious gaming,"471.4 Seawater, Tides and Waves - 723.5 Computer Applications",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
IoT-Fog 2019 - Proceedings of the 2019 Workshop on Fog Computing and the IoT,,,IoT-Fog 2019 - Proceedings of the 2019 Workshop on Fog Computing and the IoT,ACM,"Association for Computing Machinery, Inc",,,15-Apr-19,IoT-Fog 2019 - Proceedings of the 2019 Workshop on Fog Computing and the IoT,2019,,,,9.78145E+12,,,"2019 Workshop on Fog Computing and the IoT, IoT-Fog 2019",15-Apr-19,,The proceedings contain 12 papers. The topics discussed include: towards quality-of-control-aware scheduling of industrial applications on fog computing platforms; safety of fog-based industrial automation systems; personalized augmented reality via fog-based imitation learning; adaptive industrial IOT/CPS messaging strategies for improved edge compute utility; implementing time-triggered communication over a standard Ethernet switch; the need for deterministic virtualization in fog computing and the industrial Internet of things; and multilayer distributed control over 5G networks: challenges and security threats.,,,,,,,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
NHT 2019 - Proceedings of the 8th International Workshop on Narrative and Hypertext,,,NHT 2019 - Proceedings of the 8th International Workshop on Narrative and Hypertext,ACM SIGWEB,"Association for Computing Machinery, Inc",,,12-Sep-19,NHT 2019 - Proceedings of the 8th International Workshop on Narrative and Hypertext,2019,,,,9.78145E+12,,,"8th International Workshop on Narrative and Hypertext, NHT 2019, in conjunction with 30th ACM Conference on Hypertext and Social Media, HT 2019",17-Sep-19,,The proceedings contain 3 papers. The topics discussed include: no story without a backstory: the role and importance of the backstory in an augmented reality application for cultural heritage; the unethical future of mixed reality storytelling; and M22 - a modern visual novel framework.,,,,,,,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
"MobiSys 2019 - Proceedings of the 17th Annual International Conference on Mobile Systems, Applications, and Services",,,"MobiSys 2019 - Proceedings of the 17th Annual International Conference on Mobile Systems, Applications, and Services",ACM SIGMOBILE,"Association for Computing Machinery, Inc",,,12-Jun-19,"MobiSys 2019 - Proceedings of the 17th Annual International Conference on Mobile Systems, Applications, and Services",2019,,,,9.78145E+12,,,"17th ACM International Conference on Mobile Systems, Applications, and Services, MobiSys 2019","June 17, 2019 - June 21, 2019",,The proceedings contain 133 papers. The topics discussed include: Capttery: scalable battery-like room-level wireless power; BreathListener: fine-grained breathing monitoring in driving environments utilizing acoustic signals; FlyZone: a testbed for experimenting with aerial drone applications; InternalBlue - Bluetooth binary patching and experimentation framework; animal-borne anti-poaching system; SpecEye: towards pervasive and privacy-preserving screen exposure detection in daily life; when IoT met augmented reality: visualizing the source of the wireless signal in AR view; freedom: fast recovery enhanced VR delivery over mobile networks; GLEAM: an illumination estimation framework for real-time photorealistic augmented reality on mobile devices; and understanding and detecting overlay-based android malware at market scales.,,,,,,,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Clench interaction: Novel biting input techniques,"Xu, Xuhai (1, 2); Yu, Chun (2); Dey, Anind K. (1); Mankoff, Jennifer (3) ","(1) Information School, University of Washington, Seattle, United States (2) Department of Computer Science and Technology, Tsinghua University, Beijing, China (3) Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, United States ",Conference on Human Factors in Computing Systems - Proceedings,ACM SIGCHI,Association for Computing Machinery,,,2-May-19,CHI 2019 - Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,2019,,,,9.78145E+12,10.1145/3290605.3300505,,"2019 CHI Conference on Human Factors in Computing Systems, CHI 2019","May 4, 2019 - May 9, 2019",,"People eat every day and biting is one of the most fundamental and natural actions that they perform on a daily basis. Existing work has explored tooth click location and jaw movement as input techniques, however clenching has the potential to add control to this input channel. We propose clench interaction that leverages clenching as an actively controlled physiological signal that can facilitate interactions. We conducted a user study to investigate users’ ability to control their clench force. We found that users can easily discriminate three force levels, and that they can quickly confirm actions by unclenching (quick release). We developed a design space for clench interaction based on the results and investigated the usability of the clench interface. Participants preferred the clench over baselines and indicated a willingness to use clench-based interactions. This novel technique can provide an additional input method in cases where users’ eyes or hands are busy, augment immersive experiences such as virtual/augmented reality, and assist individuals with disabilities. © 2019 Association for Computing Machinery.",40,Human engineering,Software engineering,Design spaces - Force level - Input channels - Input methods - Input techniques - Jaw movements - Novel techniques - Physiological signals,461.4 Ergonomics and Human Factors Engineering - 723.1 Computer Programming,,,"Number: 20151080408, Acronym: THU, Sponsor: Tsinghua University; Number: 61572276, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 61672314, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","This work is supported by the National Key Research and Development Plan under Grant No. 2016YFB1001402, the Natural Science Foundation of China under Grant No. 61672314 and No. 61572276, Tsinghua University Research Funding No. 20151080408, and also by Beijing Key Lab of Networked Multimedia.",,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
