,LowLevel,MidLevel,HighLevel,freq_low,freq_mid,freq_high
127,architectural acoustics__,construction_,industries,6,112,3116
128,architectural cad__,construction_,industries,4,112,3116
129,architectural design__,construction_,industries,5,112,3116
130,architecture__,construction_,industries,15,112,3116
131,argon__,developers_,technology,36,541,3706
132,armored vehicles__,geospatial_,technology,1,179,3706
133,aromatic compounds__,chemical_,industries,1,152,3116
134,array signal processing__,semiconductors_,technology,4,234,3706
135,art__,liberal arts_,industries,28,321,3116
136,artificial intelligence__,artificial intelligence_,technology,54,771,3706
137,artificial life__,simulation_,use cases,1,138,1287
138,artificial limbs__,medical_,industries,3,725,3116
139,artificial organs__,medical_,industries,1,725,3116
140,artificial satellites__,sensors_,technology,1,235,3706
141,arts computing__,liberal arts_,industries,13,321,3116
142,aspect ratio__,graphics_,technology,2,950,3706
143,aspherical optics__,optics_,displays,1,167,819
144,assembling__,manufacturing_,industries,39,564,3116
146,assembly planning__,business planning and management_,business,4,172,806
145,assembly__,manufacturing_,industries,4,564,3116
147,asset management__,data_,technology,3,654,3706
148,assisted living__,medical_,industries,12,725,3116
150,astronomy computing__,aviation and aerospace_,industries,9,121,3116
149,astronomy__,aviation and aerospace_,industries,1,121,3116
151,atmospheric temperature__,engineering_,technology,1,229,3706
152,atoms__,chemical_,industries,1,152,3116
153,attitude measurement__,human factors_,end users and user experience,1,441,1397
154,audio acoustics__,audio_,technology,6,73,3706
155,audio equipment__,audio_,technology,3,73,3706
156,audio signal processing__,audio_,technology,11,73,3706
157,audio systems__,audio_,technology,6,73,3706
158,audio user interfaces__,audio_,technology,4,73,3706
159,audio-visual systems__,input_,technology,4,1224,3706
160,audition__,medical_,industries,15,725,3116
161,auditoriums__,construction_,industries,1,112,3116
162,auditory evoked potentials__,audio_,technology,2,73,3706
163,authentication__,security_,technology,4,97,3706
164,authoring languages__,developers_,technology,2,541,3706
165,authoring systems__,developers_,technology,7,541,3706
166,authorisation__,security_,technology,8,97,3706
167,automatic guided vehicles__,automotive_,industries,2,149,3116
168,automatic optical inspection__,manufacturing_,industries,4,564,3116
169,automatic testing__,manufacturing_,industries,1,564,3116
170,automation__,manufacturing_,industries,24,564,3116
171,automobile drivers__,automotive_,industries,12,149,3116
172,automobile industry__,automotive_,industries,7,149,3116
173,automobile manufacture__,automotive_,industries,1,149,3116
174,automobile simulators__,simulation_,use cases,2,138,1287
175,automobiles__,automotive_,industries,7,149,3116
176,automotive components__,automotive_,industries,4,149,3116
177,automotive electric vehicles__,automotive_,industries,1,149,3116
178,automotive electronics__,automotive_,industries,3,149,3116
179,automotive engineering__,automotive_,industries,5,149,3116
180,automotive industry__,automotive_,industries,7,149,3116
181,autonomous aerial vehicles__,aviation and aerospace_,industries,23,121,3116
182,autonomous agents__,artificial intelligence_,technology,11,771,3706
183,autonomous underwater vehicles__,marine_,industries,1,14,3116
184,autonomous vehicles__,automotive_,industries,9,149,3116
185,avatars__,presence_,end users and user experience,35,39,1397
186,aviation__,aviation and aerospace_,industries,2,121,3116
187,avionics__,aviation and aerospace_,industries,2,121,3116
188,backpropagation__,networks_,technology,4,509,3706
189,ball milling__,manufacturing_,industries,1,564,3116
190,ballistics__,government_,industries,1,31,3116
191,balloons__,aviation and aerospace_,industries,1,121,3116
193,bandwidth allocation__,networks_,technology,2,509,3706
192,bandwidth__,networks_,technology,16,509,3706
194,bank data processing__,business planning and management_,business,1,172,806
195,bar codes__,input_,technology,7,1224,3706
196,base stations__,networks_,technology,3,509,3706
197,batch processing__,manufacturing_,industries,1,564,3116
198,bayes methods__,artificial intelligence_,technology,7,771,3706
199,bayesian networks__,artificial intelligence_,technology,1,771,3706
200,beam forming networks__,telecommunication_,industries,1,912,3116
201,beamforming__,optics_,displays,3,167,819
202,behavioral research__,human factors_,end users and user experience,26,441,1397
204,behavioural sciences computing__,human factors_,end users and user experience,12,441,1397
203,behavioural sciences__,human factors_,end users and user experience,2,441,1397
205,belief networks__,data_,technology,1,654,3706
206,belt conveyors__,manufacturing_,industries,1,564,3116
207,belts__,industrial equipment_,industries,1,98,3116
208,benchmarking__,data_,technology,7,654,3706
209,berry phase__,optics_,displays,1,167,819
210,bicycles__,transportation_,industries,4,131,3116
211,big data__,data_,technology,25,654,3706
212,binary alloys__,chemical_,industries,1,152,3116
213,binary codes__,developers_,technology,1,541,3706
214,binary sequences__,developers_,technology,1,541,3706
215,binoculars__,optics_,displays,2,167,819
216,bio-optics__,optics_,displays,1,167,819
217,bioacoustics__,audio_,technology,1,73,3706
218,biochemical engineering__,engineering_,technology,1,229,3706
219,biochemistry__,chemical_,industries,1,152,3116
220,bioelectric potentials__,medical_,industries,2,725,3116
221,biofeedback__,human-computer interaction_,end users and user experience,2,998,1397
222,biographies__,education_,industries,2,627,3116
223,bioinformatics__,medical_,industries,3,725,3116
224,biological effects of radiation__,medical_,industries,1,725,3116
225,biological organs__,medical_,industries,9,725,3116
226,biological tissues__,medical_,industries,6,725,3116
228,biology computing__,medical_,industries,20,725,3116
227,biology__,medical_,industries,2,725,3116
229,biomechanics__,medical_,industries,47,725,3116
230,biomedical communication__,medical_,industries,2,725,3116
231,biomedical education__,education_,industries,39,627,3116
232,biomedical electrodes__,medical_,industries,1,725,3116
233,biomedical engineering__,medical_,industries,6,725,3116
234,biomedical equipment__,medical_,industries,3,725,3116
235,biomedical measurement__,medical_,industries,7,725,3116
236,biomedical mri__,medical_,industries,20,725,3116
237,biomedical optical imaging__,medical_,industries,14,725,3116
238,biomedical signal processing__,semiconductors_,technology,1,234,3706
239,biomedical ultrasonics__,medical_,industries,5,725,3116
240,biomembrane transport__,medical_,industries,1,725,3116
241,biomembranes__,chemical_,industries,1,152,3116
242,biomems__,semiconductors_,technology,1,234,3706
243,biometrics__,human-computer interaction_,end users and user experience,6,998,1397
244,biophysics__,medical_,industries,1,725,3116
245,biopsy__,medical_,industries,1,725,3116
246,biosensors__,medical_,industries,4,725,3116
247,biotechnology__,education_,industries,3,627,3116
248,biped locomotion__,robotics_,technology,2,398,3706
249,bitcoin__,sales and marketing_,business,1,114,806
250,black-box testing__,data_,technology,1,654,3706
251,blending__,education_,industries,8,627,3116
252,blind source separation__,input_,technology,1,1224,3706
253,blockchain__,security_,technology,3,97,3706
255,blood pressure__,medical_,industries,1,725,3116
256,blood vessels__,medical_,industries,10,725,3116
254,blood__,medical_,industries,3,725,3116
257,bluetooth__,networks_,technology,10,509,3706
258,boats__,marine_,industries,1,14,3116
259,body area networks__,networks_,technology,3,509,3706
260,body sensor networks__,networks_,technology,3,509,3706
261,bone__,medical_,industries,12,725,3116
262,botany__,education_,industries,3,627,3116
263,botnet__,networks_,technology,3,509,3706
264,bottling__,manufacturing_,industries,1,564,3116
266,brain models__,medical_,industries,2,725,3116
267,brain-computer interfaces__,human factors_,end users and user experience,23,441,1397
265,brain__,medical_,industries,26,725,3116
268,braking__,automotive_,industries,1,149,3116
269,bridges__,transportation_,industries,5,131,3116
270,brightness__,graphics_,technology,8,950,3706
271,broadband networks__,networks_,technology,3,509,3706
272,broadcast communication__,telecommunication_,industries,2,912,3116
273,broadcasting__,networks_,technology,2,509,3706
274,bubbles__,human-computer interaction_,end users and user experience,1,998,1397
275,budget control__,business planning and management_,business,7,172,806
276,buffer storage__,developers_,technology,1,541,3706
277,building information modelling__,construction_,industries,7,112,3116
278,building interiors__,construction_,industries,2,112,3116
279,building management systems__,construction_,industries,7,112,3116
280,building materials__,construction_,industries,2,112,3116
281,buildings__,construction_,industries,18,112,3116
282,buoyancy__,marine_,industries,1,14,3116
283,buried object detection__,geospatial_,technology,1,179,3706
284,business data processing__,business performance metrics_,business,8,242,806
285,c# language__,developers_,technology,1,541,3706
287,c++ language__,developers_,technology,1,541,3706
286,c++__,developers_,technology,2,541,3706
288,cables__,networks_,technology,3,509,3706
289,cache storage__,semiconductors_,technology,11,234,3706
291,cad/cam__,graphics_,technology,2,950,3706
290,cad__,graphics_,technology,28,950,3706
292,calcium__,chemical_,industries,1,152,3116
293,calculations__,education_,industries,1,627,3116
294,calculus__,education_,industries,1,627,3116
295,calibration__,sensors_,technology,64,235,3706
296,cameras__,input_,technology,361,1224,3706
297,cams__,industrial equipment_,industries,2,98,3116
298,cancer__,medical_,industries,12,725,3116
299,capacitive sensors__,sensors_,technology,3,235,3706
300,capacitors__,semiconductors_,technology,1,234,3706
301,carbohydrates__,medical_,industries,1,725,3116
302,cardiology__,medical_,industries,8,725,3116
303,cardiovascular surgery__,medical_,industries,1,725,3116
304,cardiovascular system__,medical_,industries,5,725,3116
305,carrier mobility__,telecommunication_,industries,2,912,3116
306,cartography__,navigation_,use cases,3,178,1287
307,catering industry__,farming and natural science_,industries,4,107,3116
308,catheters__,medical_,industries,1,725,3116
309,cathode ray oscilloscopes__,engineering_,technology,4,229,3706
310,caves__,display technology_,displays,1,247,819
311,ccd cameras__,input_,technology,2,1224,3706
312,ceilings__,construction_,industries,1,112,3116
313,cell culture__,medical_,industries,1,725,3116
314,cell proliferation__,medical_,industries,6,725,3116
315,cellular automata__,data_,technology,2,654,3706
316,cellular biophysics__,medical_,industries,4,725,3116
317,cellular radio__,telecommunication_,industries,18,912,3116
318,cellular telephones__,telecommunication_,industries,4,912,3116
319,cellulose__,chemical_,industries,1,152,3116
320,cement industry__,construction_,industries,1,112,3116
321,channel allocation__,telecommunication_,industries,1,912,3116
322,channel bank filters__,data_,technology,1,654,3706
323,channel capacity__,telecommunication_,industries,2,912,3116
324,channel coding__,security_,technology,4,97,3706
325,channel estimation__,telecommunication_,industries,2,912,3116
326,channel state information__,telecommunication_,industries,1,912,3116
327,chaos__,robotics_,technology,2,398,3706
328,character recognition__,input_,technology,3,1224,3706
329,character sets__,developers_,technology,1,541,3706
330,charge coupled devices__,input_,technology,1,1224,3706
331,charts__,input_,technology,1,1224,3706
332,chemical activation__,chemical_,industries,2,152,3116
333,chemical analysis__,chemical_,industries,1,152,3116
334,chemical attack__,"inspection, safety and quality_",use cases,1,246,1287
335,chemical bonds__,chemical_,industries,2,152,3116
336,chemical detection__,"inspection, safety and quality_",use cases,1,246,1287
337,chemical elements__,chemical_,industries,1,152,3116
338,chemical hazards__,chemical_,industries,1,152,3116
339,chemical indicators__,chemical_,industries,1,152,3116
340,chemical industry__,chemical_,industries,1,152,3116
341,chemical reactions__,chemical_,industries,1,152,3116
342,chemioception__,medical_,industries,7,725,3116
343,chemistry computing__,chemical_,industries,6,152,3116
344,cholesteric liquid crystals__,chemical_,industries,1,152,3116
345,chromium__,chemical_,industries,1,152,3116
346,cinematography__,liberal arts_,industries,3,321,3116
347,circadian rhythms__,medical_,industries,1,725,3116
348,circuit diagrams__,power and energy_,industries,1,134,3116
349,circuit networks__,networks_,technology,2,509,3706
350,circuit simulation__,power and energy_,industries,1,134,3116
351,circular polarization__,chemical_,industries,1,152,3116
352,citation analysis__,education_,industries,1,627,3116
354,civil engineering computing__,construction_,industries,7,112,3116
353,civil engineering__,engineering_,technology,1,229,3706
355,classifiers__,artificial intelligence_,technology,1,771,3706
356,client server computer systems__,networks_,technology,11,509,3706
357,climate change__,policy_,business,1,273,806
358,climate control__,"inspection, safety and quality_",use cases,1,246,1287
359,climate mitigation__,policy_,business,1,273,806
360,climate models__,geospatial_,technology,1,179,3706
361,clinical research__,medical_,industries,3,725,3116
362,clocks__,human-computer interaction_,end users and user experience,3,998,1397
363,clone cells__,medical_,industries,1,725,3116
364,cloning__,medical_,industries,2,725,3116
365,closed circuit television__,video_,technology,2,142,3706
366,closed loop systems__,manufacturing_,industries,2,564,3116
368,clothing industry__,manufacturing_,industries,4,564,3116
367,clothing__,manufacturing_,industries,9,564,3116
369,cloud computing__,networks_,technology,117,509,3706
370,clouds__,networks_,technology,1,509,3706
371,cluster analysis__,artificial intelligence_,technology,1,771,3706
372,clustering algorithms__,artificial intelligence_,technology,1,771,3706
373,clutches__,automotive_,industries,2,149,3116
374,clutter__,artificial intelligence_,technology,1,771,3706
375,cmos digital integrated circuits__,semiconductors_,technology,1,234,3706
376,cmos image sensors__,semiconductors_,technology,2,234,3706
377,cmos integrated circuits__,semiconductors_,technology,1,234,3706
378,cmos logic circuits__,semiconductors_,technology,1,234,3706
379,code standards__,standards_,standards,1,52,52
380,codes__,developers_,technology,8,541,3706
381,coding errors__,developers_,technology,1,541,3706
382,cognition__,human factors_,end users and user experience,61,441,1397
383,cognitive radio__,internet of things_,technology,1,163,3706
384,cognitive systems__,human factors_,end users and user experience,15,441,1397
385,coherent scattering__,chemical_,industries,1,152,3116
386,coils__,power and energy_,industries,1,134,3116
387,collaborative filtering__,artificial intelligence_,technology,1,771,3706
388,collector efficiency__,data_,technology,2,654,3706
389,collision avoidance__,automotive_,industries,17,149,3116
391,color codes__,graphics_,technology,1,950,3706
392,color computer graphics__,display technology_,displays,1,247,819
393,color matching__,graphics_,technology,1,950,3706
394,color printing__,developers_,technology,1,541,3706
395,color vision__,input_,technology,8,1224,3706
390,color__,graphics_,technology,15,950,3706
396,colorimetry__,input_,technology,1,1224,3706
397,colour displays__,display technology_,displays,1,247,819
398,combinatorial mathematics__,medical_,industries,1,725,3116
399,combinatorial optimization__,developers_,technology,2,541,3706
400,combined source-channel coding__,networks_,technology,1,509,3706
401,commerce__,sales and marketing_,business,12,114,806
402,commercial off-the-shelf__,sales and marketing_,business,1,114,806
404,communication channels__,human-computer interaction_,end users and user experience,1,998,1397
405,communication satellites__,telecommunication_,industries,1,912,3116
403,communication__,input_,technology,2,1224,3706
406,compaction__,manufacturing_,industries,1,564,3116
407,comparators__,semiconductors_,technology,1,234,3706
408,compasses__,input_,technology,1,1224,3706
409,competition__,business performance metrics_,business,5,242,806
410,complex networks__,artificial intelligence_,technology,4,771,3706
411,compliance control__,business performance metrics_,business,2,242,806
412,compressors__,power and energy_,industries,1,134,3116
413,computation theory__,artificial intelligence_,technology,11,771,3706
414,computational complexity__,artificial intelligence_,technology,11,771,3706
415,computational efficiency__,device energy management_,displays,5,29,819
416,computational electromagnetics__,engineering_,technology,3,229,3706
417,computational fluid dynamics__,simulation_,use cases,4,138,1287
418,computational geometry__,artificial intelligence_,technology,18,771,3706
419,computational grammars__,developers_,technology,1,541,3706
420,computational mechanics__,simulation_,use cases,1,138,1287
421,computational methods__,developers_,technology,6,541,3706
422,computer aided design__,graphics_,technology,9,950,3706
423,computer aided engineering__,simulation_,use cases,1,138,1287
424,computer aided instruction__,training_,use cases,528,633,1287
425,computer aided software engineering__,engineering_,technology,1,229,3706
426,computer animation__,graphics_,technology,60,950,3706
427,computer applications__,developers_,technology,9,541,3706
428,computer architecture__,developers_,technology,10,541,3706
429,computer based training__,training_,use cases,94,633,1287
430,computer centres__,networks_,technology,9,509,3706
431,computer circuits__,semiconductors_,technology,1,234,3706
432,computer control systems__,industrial equipment_,industries,1,98,3116
433,computer crime__,security_,technology,1,97,3706
434,computer debugging__,developers_,technology,1,541,3706
435,computer displays__,display technology_,displays,10,247,819
436,computer games__,liberal arts_,industries,172,321,3116
438,computer graphics equipment__,graphics_,technology,1,950,3706
437,computer graphics__,graphics_,technology,49,950,3706
439,computer hardware__,developers_,technology,3,541,3706
440,computer keyboards__,input_,technology,3,1224,3706
441,computer literacy__,policy_,business,2,273,806
442,computer maintenance__,manufacturing_,industries,1,564,3116
443,computer mediated communication__,collaboration_,use cases,1,146,1287
444,computer music__,audio_,technology,1,73,3706
445,computer network management__,networks_,technology,3,509,3706
446,computer network security__,security_,technology,1,97,3706
447,computer networks__,networks_,technology,4,509,3706
448,computer operating systems__,developers_,technology,2,541,3706
449,computer peripheral equipment__,input_,technology,1,1224,3706
450,computer privacy__,security_,technology,1,97,3706
452,computer programming languages__,developers_,technology,1,541,3706
451,computer programming__,developers_,technology,19,541,3706
453,computer science education__,education_,industries,28,627,3116
455,computer simulation languages__,developers_,technology,1,541,3706
454,computer simulation__,simulation_,use cases,17,138,1287
456,computer software__,developers_,technology,8,541,3706
457,computer systems programming__,developers_,technology,1,541,3706
458,computer vision__,computer vision_,technology,174,1005,3706
459,computer workstations__,developers_,technology,1,541,3706
460,computer-generated holography__,graphics_,technology,6,950,3706
461,computerised instrumentation__,industrial equipment_,industries,3,98,3116
462,computerised monitoring__,manufacturing_,industries,8,564,3116
463,computerised navigation__,navigation_,use cases,2,178,1287
464,computerised numerical control__,education_,industries,4,627,3116
465,computerized tomography__,medical_,industries,35,725,3116
466,computers__,developers_,technology,1,541,3706
467,concave programming__,artificial intelligence_,technology,6,771,3706
468,conceptual design__,developers_,technology,3,541,3706
469,concretes__,construction_,industries,1,112,3116
470,concurrent engineering__,manufacturing_,industries,1,564,3116
471,condition monitoring__,manufacturing_,industries,13,564,3116
472,conductive materials__,metals and mining_,industries,2,19,3116
473,configuration management__,developers_,technology,1,541,3706
474,conformal mapping__,computer vision_,technology,2,1005,3706
475,conformations__,education_,industries,1,627,3116
476,conservation__,farming and natural science_,industries,1,107,3116
477,constrained optimization__,computer vision_,technology,1,1005,3706
478,constraint theory__,computer vision_,technology,1,1005,3706
480,construction equipment__,construction_,industries,2,112,3116
481,construction industry__,construction_,industries,5,112,3116
479,construction__,construction_,industries,1,112,3116
482,consumer behaviour__,sales and marketing_,business,9,114,806
483,consumer electronics__,human factors_,end users and user experience,5,441,1397
484,consumer products__,consumer products_,industries,3,18,3116
485,containers__,developers_,technology,3,541,3706
486,content management__,developers_,technology,3,541,3706
487,content-based retrieval__,data_,technology,1,654,3706
488,continuing professional development__,education_,industries,2,627,3116
489,continuum mechanics__,robotics_,technology,1,398,3706
490,contractors__,human resources_,business,1,78,806
491,contracts__,policy_,business,1,273,806
492,contrast media__,networks_,technology,1,509,3706
494,control engineering computing__,engineering_,technology,88,229,3706
495,control engineering education__,education_,industries,4,627,3116
493,control engineering__,engineering_,technology,1,229,3706
496,control system synthesis__,human-computer interaction_,end users and user experience,3,998,1397
497,control systems__,human-computer interaction_,end users and user experience,2,998,1397
498,control towers__,aviation and aerospace_,industries,2,121,3116
499,controllers__,input_,technology,5,1224,3706
500,convergence of numerical methods__,education_,industries,1,627,3116
501,convex optimization__,networks_,technology,1,509,3706
502,convex programming__,developers_,technology,3,541,3706
503,conveyors__,manufacturing_,industries,2,564,3116
504,convolution__,networks_,technology,29,509,3706
505,convolutional codes__,artificial intelligence_,technology,2,771,3706
506,convolutional neural nets__,artificial intelligence_,technology,58,771,3706
507,convolutional neural networks__,artificial intelligence_,technology,4,771,3706
508,cooking__,cultural heritage_,industries,1,122,3116
510,cooling systems__,industrial equipment_,industries,1,98,3116
509,cooling__,sensors_,technology,2,235,3706
511,cooperative communication__,collaboration_,use cases,5,146,1287
512,cooperative systems__,collaboration_,use cases,1,146,1287
513,coordination reactions__,chemical_,industries,2,152,3116
514,coprocessors__,semiconductors_,technology,1,234,3706
515,correlation methods__,artificial intelligence_,technology,6,771,3706
516,cosmetics__,chemical_,industries,1,152,3116
517,cosmic dust__,aviation and aerospace_,industries,1,121,3116
518,cosmic rays__,aviation and aerospace_,industries,2,121,3116
519,cosmology__,aviation and aerospace_,industries,1,121,3116
520,cost effectiveness__,business performance metrics_,business,10,242,806
521,cost engineering__,business performance metrics_,business,1,242,806
522,cost functions__,business performance metrics_,business,1,242,806
523,cost reduction__,business performance metrics_,business,4,242,806
524,costing__,business performance metrics_,business,3,242,806
525,costs__,business performance metrics_,business,20,242,806
526,cotton__,farming and natural science_,industries,1,107,3116
527,courseware__,education_,industries,3,627,3116
528,cranes__,construction_,industries,1,112,3116
529,critical infrastructures__,business performance metrics_,business,1,242,806
530,crops__,farming and natural science_,industries,3,107,3116
531,crowdsourcing__,data_,technology,4,654,3706
532,cryptocurrencies__,sales and marketing_,business,2,114,806
533,cryptographic protocols__,security_,technology,1,97,3706
534,cryptography__,security_,technology,14,97,3706
535,cultural aspects__,policy_,business,6,273,806
536,curricula__,education_,industries,15,627,3116
537,curve fitting__,graphics_,technology,1,950,3706
538,customer relationship management__,sales and marketing_,business,1,114,806
539,customer satisfaction__,sales and marketing_,business,9,114,806
540,customer services__,sales and marketing_,business,7,114,806
542,cutting tools__,industrial equipment_,industries,3,98,3116
541,cutting__,manufacturing_,industries,1,564,3116
543,cyber physical systems__,human-computer interaction_,end users and user experience,6,998,1397
544,cyber-physical systems__,robotics_,technology,10,398,3706
545,cybernetics__,wearables_,displays,2,492,819
546,dairy products__,farming and natural science_,industries,1,107,3116
547,damage detection__,manufacturing_,industries,1,564,3116
548,damping__,chemical_,industries,1,152,3116
549,data acquisition__,input_,technology,20,1224,3706
550,data aggregation__,data_,technology,2,654,3706
551,data analysis__,data_,technology,34,654,3706
552,data analytics__,data_,technology,4,654,3706
553,data communication__,networks_,technology,3,509,3706
555,data compression ratio__,data_,technology,1,654,3706
554,data compression__,data_,technology,27,654,3706
556,data flow analysis__,data_,technology,1,654,3706
557,data fusion__,data_,technology,2,654,3706
558,data gloves__,input_,technology,10,1224,3706
559,data handling__,data_,technology,17,654,3706
560,data integration__,integration_,business,2,10,806
561,data integrity__,data_,technology,2,654,3706
562,data loggers__,data_,technology,2,654,3706
563,data mining__,data_,technology,10,654,3706
564,data models__,developers_,technology,3,541,3706
