,names,freq
240,biomembrane transport,1
241,biomembranes,1
242,biomems,1
243,biometrics,6
244,biophysics,1
245,biopsy,1
246,biosensors,4
247,biotechnology,3
248,biped locomotion,2
249,bitcoin,1
250,black-box testing,1
251,blending,8
252,blind source separation,1
253,blockchain,3
254,blood,3
255,blood pressure,1
256,blood vessels,10
257,bluetooth,10
258,boats,1
259,body area networks,3
260,body sensor networks,3
261,bone,12
262,botany,3
263,botnet,3
264,bottling,1
265,brain,26
266,brain models,2
267,brain-computer interfaces,23
268,braking,1
269,bridges,5
270,brightness,8
271,broadband networks,3
272,broadcast communication,2
273,broadcasting,2
274,bubbles,1
275,budget control,7
276,buffer storage,1
277,building information modelling,7
278,building interiors,2
279,building management systems,7
280,building materials,2
281,buildings,18
282,buoyancy,1
283,buried object detection,1
284,business data processing,8
285,c# language,1
286,c++,2
287,c++ language,1
288,cables,3
289,cache storage,11
290,cad,28
291,cad/cam,2
292,calcium,1
293,calculations,1
294,calculus,1
295,calibration,64
296,cameras,361
297,cams,2
298,cancer,12
299,capacitive sensors,3
300,capacitors,1
301,carbohydrates,1
302,cardiology,8
303,cardiovascular surgery,1
304,cardiovascular system,5
305,carrier mobility,2
306,cartography,3
307,catering industry,4
308,catheters,1
309,cathode ray oscilloscopes,4
310,caves,1
311,ccd cameras,2
312,ceilings,1
313,cell culture,1
314,cell proliferation,6
315,cellular automata,2
316,cellular biophysics,4
317,cellular radio,18
318,cellular telephones,4
319,cellulose,1
320,cement industry,1
321,channel allocation,1
322,channel bank filters,1
323,channel capacity,2
324,channel coding,4
325,channel estimation,2
326,channel state information,1
327,chaos,2
328,character recognition,3
329,character sets,1
330,charge coupled devices,1
331,charts,1
332,chemical activation,2
333,chemical analysis,1
334,chemical attack,1
335,chemical bonds,2
336,chemical detection,1
337,chemical elements,1
338,chemical hazards,1
339,chemical indicators,1
340,chemical industry,1
341,chemical reactions,1
342,chemioception,7
343,chemistry computing,6
344,cholesteric liquid crystals,1
345,chromium,1
346,cinematography,3
347,circadian rhythms,1
348,circuit diagrams,1
349,circuit networks,2
350,circuit simulation,1
351,circular polarization,1
352,citation analysis,1
353,civil engineering,1
354,civil engineering computing,7
355,classifiers,1
356,client server computer systems,11
357,climate change,1
358,climate control,1
359,climate mitigation,1
360,climate models,1
361,clinical research,3
362,clocks,3
363,clone cells,1
364,cloning,2
365,closed circuit television,2
366,closed loop systems,2
367,clothing,9
368,clothing industry,4
369,cloud computing,117
370,clouds,1
371,cluster analysis,1
372,clustering algorithms,1
373,clutches,2
374,clutter,1
375,cmos digital integrated circuits,1
376,cmos image sensors,2
377,cmos integrated circuits,1
378,cmos logic circuits,1
379,code standards,1
380,codes,8
381,coding errors,1
382,cognition,61
383,cognitive radio,1
384,cognitive systems,15
385,coherent scattering,1
386,coils,1
387,collaborative filtering,1
388,collector efficiency,2
389,collision avoidance,17
390,color,15
391,color codes,1
392,color computer graphics,1
393,color matching,1
394,color printing,1
395,color vision,8
396,colorimetry,1
397,colour displays,1
398,combinatorial mathematics,1
399,combinatorial optimization,2
400,combined source-channel coding,1
401,commerce,12
402,commercial off-the-shelf,1
403,communication,2
404,communication channels,1
405,communication satellites,1
406,compaction,1
407,comparators,1
408,compasses,1
409,competition,5
410,complex networks,4
411,compliance control,2
412,compressors,1
413,computation theory,11
414,computational complexity,11
415,computational efficiency,5
416,computational electromagnetics,3
417,computational fluid dynamics,4
418,computational geometry,18
419,computational grammars,1
420,computational mechanics,1
421,computational methods,6
422,computer aided design,9
423,computer aided engineering,1
424,computer aided instruction,528
425,computer aided software engineering,1
426,computer animation,60
427,computer applications,9
428,computer architecture,10
429,computer based training,94
430,computer centres,9
431,computer circuits,1
432,computer control systems,1
433,computer crime,1
434,computer debugging,1
435,computer displays,10
436,computer games,172
437,computer graphics,49
438,computer graphics equipment,1
439,computer hardware,3
440,computer keyboards,3
441,computer literacy,2
442,computer maintenance,1
443,computer mediated communication,1
444,computer music,1
445,computer network management,3
446,computer network security,1
447,computer networks,4
448,computer operating systems,2
449,computer peripheral equipment,1
450,computer privacy,1
451,computer programming,19
452,computer programming languages,1
453,computer science education,28
454,computer simulation,17
455,computer simulation languages,1
456,computer software,8
457,computer systems programming,1
458,computer vision,174
459,computer workstations,1
460,computer-generated holography,6
461,computerised instrumentation,3
462,computerised monitoring,8
463,computerised navigation,2
464,computerised numerical control,4
465,computerized tomography,35
466,computers,1
467,concave programming,6
468,conceptual design,3
469,concretes,1
470,concurrent engineering,1
471,condition monitoring,13
472,conductive materials,2
473,configuration management,1
474,conformal mapping,2
475,conformations,1
476,conservation,1
477,constrained optimization,1
478,constraint theory,1
479,construction,1
480,construction equipment,2
481,construction industry,5
482,consumer behaviour,9
483,consumer electronics,5
484,consumer products,3
485,containers,3
486,content management,3
487,content-based retrieval,1
488,continuing professional development,2
489,continuum mechanics,1
490,contractors,1
491,contracts,1
492,contrast media,1
493,control engineering,1
494,control engineering computing,88
495,control engineering education,4
496,control system synthesis,3
497,control systems,2
498,control towers,2
499,controllers,5
500,convergence of numerical methods,1
501,convex optimization,1
502,convex programming,3
503,conveyors,2
504,convolution,29
505,convolutional codes,2
506,convolutional neural nets,58
507,convolutional neural networks,4
508,cooking,1
509,cooling,2
510,cooling systems,1
511,cooperative communication,5
512,cooperative systems,1
513,coordination reactions,2
514,coprocessors,1
515,correlation methods,6
516,cosmetics,1
517,cosmic dust,1
518,cosmic rays,2
519,cosmology,1
520,cost effectiveness,10
521,cost engineering,1
522,cost functions,1
523,cost reduction,4
524,costing,3
525,costs,20
526,cotton,1
527,courseware,3
528,cranes,1
529,critical infrastructures,1
530,crops,3
531,crowdsourcing,4
532,cryptocurrencies,2
533,cryptographic protocols,1
534,cryptography,14
535,cultural aspects,6
536,curricula,15
537,curve fitting,1
538,customer relationship management,1
539,customer satisfaction,9
540,customer services,7
541,cutting,1
542,cutting tools,3
543,cyber physical systems,6
544,cyber-physical systems,10
545,cybernetics,2
546,dairy products,1
547,damage detection,1
548,damping,1
549,data acquisition,20
550,data aggregation,2
551,data analysis,34
552,data analytics,4
553,data communication,3
554,data compression,27
555,data compression ratio,1
556,data flow analysis,1
557,data fusion,2
558,data gloves,10
559,data handling,17
560,data integration,2
561,data integrity,2
562,data loggers,2
563,data mining,10
564,data models,3
565,data privacy,26
566,data protection,4
567,data reduction,2
568,data science,3
569,data storage equipment,3
570,data structures,7
571,data transfer,5
572,data visualization,285
573,data warehouses,1
574,database management systems,3
575,database systems,6
576,dc machinery,1
577,dc motors,1
578,decentralised control,1
579,decision making,54
580,decision support systems,14
581,decision trees,10
582,decoding,6
583,deconvolution,3
584,deep learning,32
585,deep neural networks,18
586,defects,1
587,deformation,14
588,degrees of freedom,21
589,delays,2
590,demodulation,2
591,demonstrations,1
592,demulsification,1
593,dentistry,8
594,depth perception,15
595,design,27
596,design engineering,8
597,design for manufacturability,1
598,design of experiments,1
599,deterioration,1
600,deterministic algorithms,1
601,developing countries,2
602,dexterous manipulators,6
603,diagnosis,11
604,diagnostic products,1
605,diagnostic radiography,6
606,die casting,1
607,dies,1
608,differential phase shift keying,1
609,diffraction,3
610,diffraction gratings,1
611,diffractive optics,2
612,digital arithmetic,1
613,digital devices,14
614,digital elevation models,2
615,digital forensics,2
616,digital libraries,9
617,digital photography,4
618,digital signal processing,1
619,digital simulation,10
620,digital storage,21
621,digital television,3
622,digital twin,2
623,digital video broadcasting,2
624,direct broadcasting by satellite,1
625,directed graphs,3
626,direction-of-arrival estimation,2
627,directional patterns,1
628,disaster prevention,3
629,disasters,12
630,discrete event simulation,1
631,discrete fourier transforms,1
632,diseases,57
633,dispensers,1
634,display devices,50
635,display instrumentation,5
636,display screens,1
637,distance education,4
638,distance learning,10
639,distance measurement,19
640,distributed computer systems,13
641,distributed control,2
642,distributed database systems,3
643,distributed databases,3
644,distributed processing,15
645,dna,1
646,document handling,2
647,document image processing,1
648,domes,1
649,domestic appliances,2
650,domestic safety,1
651,doors,2
652,doppler effect,1
653,dosimetry,2
654,dram chips,1
655,drilling platforms,1
656,driver circuits,2
657,driver information systems,32
658,drives,1
659,drones,13
660,drops,1
661,dynamic programming,1
662,dynamical systems,1
663,dynamics,5
664,e-learning,41
665,ear,2
666,earphones,1
667,earth,1
668,earth atmosphere,1
669,earthquakes,1
670,echo suppression,1
671,echocardiography,1
672,ecology,7
673,economic analysis,1
674,economic and social effects,26
675,economics,5
676,ecosystems,15
677,eddy current testing,1
678,edge computing,43
679,edge detection,16
680,education,28
681,education computing,26
682,educational administrative data processing,6
683,educational aids,2
684,educational computing,1
685,educational courses,63
686,educational institutions,90
687,educational robots,12
688,educational technology,23
689,efficiency,16
690,eigenvalues and eigenfunctions,2
691,elastic constants,2
692,elastic deformation,1
693,elasticity,3
694,electric arc welding,1
695,electric batteries,4
696,electric breakdown,1
697,electric current,1
698,electric distortion,1
699,electric drives,3
700,electric field measurement,1
701,electric fields,1
702,electric inverters,1
703,electric lines,1
704,electric load management,1
705,electric machine analysis computing,1
706,electric machinery,1
707,electric machines,1
708,electric motors,1
709,electric network analysis,1
710,electric network parameters,1
711,electric oil well pumping,1
712,electric potential,1
713,electric power transmission networks,2
714,electric power utilization,1
715,electric relays,1
716,electric sensing devices,1
717,electric utilities,1
718,electrical engineering,5
719,electrical engineering computing,4
720,electrical engineering education,6
721,electrical safety,1
722,electricity supply industry,2
723,electro-optical devices,1
724,electrocardiography,4
725,electroencephalography,28
726,electrolytes,2
727,electromagnetic compatibility,1
728,electromagnetic fields,3
729,electromagnetic forces,1
730,electromagnetic interference,2
731,electromagnetic shielding,1
732,electromagnetic wave attenuation,2
733,electromagnetic waves,1
734,electromagnetism,2
735,electromechanical devices,1
736,electromyography,12
737,electron devices,1
738,electron holography,1
739,electronic commerce,20
740,electronic data interchange,2
741,electronic document exchange,3
742,electronic engineering computing,9
743,electronic engineering education,6
744,electronic guidance systems,3
745,electronic health records,2
746,electronic medical equipment,1
747,electronic money,5
748,electronic musical instruments,1
749,electronic noses,1
750,electronic publishing,7
751,electronic waste,1
752,electronics engineering,1
753,electronics industry,2
754,electrooculography,5
755,electrophoresis,1
756,electrophysiology,3
757,electrotherapeutics,1
758,elemental semiconductors,2
759,elementary particles,1
760,embedded systems,36
761,embeddings,3
762,emergency management,14
763,emergency services,10
764,emergency traffic control,1
765,emergency vehicles,1
766,emotion recognition,16
767,employee welfare,1
768,employment,5
769,encoding,10
770,end effectors,7
771,endoscopes,4
772,endoscopy,4
773,energy conservation,9
774,energy consumption,6
775,energy efficiency,14
776,energy harvesting,2
777,energy management,1
778,energy management systems,2
779,energy utilization,23
780,engineering computing,1
781,engineering education,47
782,engineering graphics,1
783,engineering information systems,1
784,engineering research,2
785,engineers,2
786,engines,3
787,enterprise resource planning,3
788,entertainment,13
789,entertainment industry,2
790,entropy,1
791,environmental engineering,1
792,environmental factors,5
793,environmental impact,1
794,environmental impact assessments,1
795,environmental management,1
796,environmental monitoring,2
797,environmental regulations,1
798,environmental science computing,3
799,environmental technology,3
800,environmental testing,1
801,epidemics,2
802,equalisers,1
803,equipment testing,3
804,ergonomics,27
805,error analysis,1
806,error compensation,1
807,error correction,3
808,error correction codes,3
809,error detection,2
810,errors,20
811,estimation theory,2
812,ethical aspects,2
813,evolutionary computation,1
814,excavators,1
815,exchange rates,1
816,exhibitions,21
817,exoskeleton,1
818,experiments,1
819,extended kalman filters,3
820,extraction,5
821,extrapolation,1
822,extraterrestrial atmospheres,1
823,eye,23
824,eye movements,7
825,eye protection,3
826,eye tracking,18
827,eyeglasses,1
828,fabrication,5
829,fabrics,4
830,face recognition,49
831,facsimile,1
832,factorization,1
833,factory automation,11
834,fading channels,3
835,failure analysis,9
836,fans,1
837,fast fourier transforms,1
838,fatigue,3
839,fault detection,1
840,fault diagnosis,11
841,fault tolerance,1
842,fault tolerant computer systems,1
843,feature extraction,118
844,feature selection,3
845,feedback,34
846,feedback amplifiers,1
847,feedback control,3
848,feedforward,1
849,feedforward neural nets,17
850,felt,1
851,fences,1
852,fiber optic networks,1
853,field emission displays,4
854,field programmable gate arrays,8
855,file organisation,2
856,file servers,1
857,filling,1
858,filtering theory,5
859,fingerprint identification,1
860,finite element analysis,4
861,finite element method,1
862,fire extinguishers,2
863,fire protection,1
864,fires,6
865,firewalls,1
866,fish,1
867,flames,1
868,flat panel displays,1
869,flexible electronics,1
870,flexible manipulators,1
871,flexible manufacturing systems,3
872,flickering,1
873,flight simulators,1
874,floods,4
875,floors,13
876,flow fields,1
877,flow graphs,1
878,flow of fluids,1
879,flow sensors,1
880,flow simulation,1
881,flow visualization,26
882,fluidization,1
883,fluorescence,1
884,focusing,1
885,fog,10
886,fog computing,3
887,food packaging,2
888,food processing industry,3
889,food products,14
890,food safety,2
891,food supply,1
892,food technology,1
893,force feedback,15
894,force sensors,3
895,forecasting,10
896,forensic science,1
897,forestry,5
898,fork lift trucks,1
899,formal logic,1
900,formal specification,6
901,formal verification,1
902,forward error correction,3
903,foundries,1
904,fountains,1
905,fracture,1
906,fraud,1
907,free-space optical communication,6
908,frequency division multiple access,1
909,frequency modulation,1
910,frequency response,1
911,fresnel diffraction,1
912,friction,3
913,fruits,1
914,function generators,1
915,functional electric stimulation,1
916,functional materials,1
917,functional neuroimaging,1
918,functions,2
919,furnaces,1
920,furniture,6
921,further education,28
922,fusion reactions,1
923,fuzzy control,2
924,fuzzy inference,1
925,fuzzy logic,3
926,fuzzy set theory,8
927,fuzzy systems,1
928,gait analysis,13
929,gallium compounds,3
930,game theory,5
931,gamification,1
932,gas industry,2
933,gas sensors,1
934,gases,1
935,gaussian distribution,3
936,gaussian noise,2
937,gaussian processes,4
938,gaze tracking,25
939,gears,1
940,gene expression,1
941,genes,2
942,genetic algorithms,3
943,genetics,2
944,geographic information systems,29
945,geography,4
946,geological surveys,1
947,geology,3
948,geomagnetic navigation,1
949,geomagnetism,1
950,geometrical optics,13
951,geometry,53
952,geomorphology,2
953,geophysical image processing,4
954,geophysical prospecting,1
955,geophysical techniques,1
956,geophysics computing,9
957,geotechnical structures,1
958,geriatrics,24
959,germanium compounds,1
960,gesture recognition,136
961,glass,36
962,global optimization,4
963,global positioning system,44
964,global system for mobile communications,2
965,global warming,1
966,glow discharges,1
967,glues,2
968,gluing,1
969,government data processing,1
970,government policies,1
971,gradient methods,5
972,grammars,2
973,graph algorithms,1
974,graph theory,16
975,graphic methods,4
976,graphical user interfaces,35
977,graphics processing units,28
978,gravitation,1
979,greedy algorithms,3
980,green computing,8
981,greenhouses,2
982,grinding,1
983,grippers,2
984,ground penetrating radar,3
985,groupware,89
986,gyroscopes,9
987,haar transforms,1
988,hand held computers,1
989,handicapped aids,90
990,handwriting recognition,1
991,handwritten character recognition,2
992,haptic interfaces,86
993,harmonic analysis,1
994,hazardous materials,1
995,hazards,4
996,head-up displays,47
997,headlights,1
998,headphones,3
999,health,7
1000,health and safety,1
1001,health care,59
1002,health hazards,1
1003,hearing,10
1004,heart,3
1005,heat conduction,1
1006,helicopters,1
1007,helmet mounted displays,376
1008,hemodynamics,1
1009,heterogeneous networks,4
1010,heuristic algorithms,2
1011,hidden feature removal,2
1012,hidden markov models,5
1013,hierarchical systems,3
1014,high definition television,2
1015,high definition video,1
1016,high level languages,2
1017,high speed networks,1
1018,high-voltage engineering,1
1019,highway accidents,1
1020,highway administration,1
1021,highway planning,1
1022,highway traffic control,2
1023,histology,1
1024,historic preservation,9
1025,history,90
1026,holograms,16
1027,holographic displays,29
1028,holographic optical elements,17
1029,holographic storage,1
1030,holography,32
1031,home automation,8
1032,home computing,7
1033,hosiery manufacture,1
1034,hospitals,7
1035,hot rolling,1
1036,hotel industry,1
1037,hotels,1
1038,hough transforms,2
1039,houses,1
1040,http,1
1041,huffman codes,1
1042,human computer interaction,414
1043,human engineering,143
1044,human factors,93
1045,human resource management,4
1046,human-robot interaction,71
1047,humanities,13
1048,humanoid robots,3
1049,hvdc power transmission,1
1050,hybrid electric vehicles,2
1051,hybrid systems,4
1052,hydraulic actuators,1
1053,hydraulic systems,1
1054,hydrocarbons,1
1055,hypermedia,1
1056,hypermedia markup languages,2
1057,hypertext systems,3
1058,hysteresis,1
1059,iec standards,2
1060,ieee standards,3
1061,iii-v semiconductors,3
1062,image analysis,2
1063,image annotation,2
1064,image capture,16
1065,image classification,47
1066,image coding,23
1067,image colour analysis,128
1068,image communication systems,1
1069,image compression,1
1070,image denoising,6
1071,image enhancement,33
1072,image filtering,12
1073,image fusion,30
1074,image matching,51
1075,image morphing,1
1076,image motion analysis,77
1077,image processing,60
1078,image quality,5
1079,image recognition,47
1080,image reconstruction,132
1081,image registration,82
1082,image representation,33
1083,image resolution,30
1084,image restoration,7
1085,image retrieval,6
1086,image sampling,2
1087,image scanners,1
1088,image segmentation,107
1089,image sensors,73
1090,image sequences,42
1091,image texture,43
1092,image understanding,5
1093,imaging systems,3
1094,imaging techniques,4
1095,importance sampling,1
1096,impulse response,1
1097,in situ processing,1
1098,incandescent lamps,1
1099,independent component analysis,3
1100,indexing,2
1101,indium compounds,2
1102,indoor environment,6
1103,indoor navigation,12
1104,indoor positioning systems,9
1105,indoor radio,8
1106,induction motors,1
1107,inductive power transmission,1
1108,industrial control,1
1109,industrial electronics,1
1110,industrial engineering,5
1111,industrial hygiene,1
1112,industrial informatics,2
1113,industrial laboratories,1
1114,industrial management,3
1115,industrial manipulators,14
1116,industrial plants,6
1117,industrial psychology,1
1118,industrial research,8
1119,industrial robots,23
1120,industrial training,11
1121,industry 4.0,14
1122,inertial confinement fusion,1
1123,inertial navigation,12
1124,inertial navigation systems,3
1125,inertial systems,4
1126,inference engines,1
1127,inference mechanisms,3
1128,informatics,2
1129,information analysis,8
1130,information classification,16
1131,information clutter,5
1132,information dissemination,3
1133,information filtering,2
1134,information management,13
1135,information resources,2
1136,information retrieval,7
1137,information retrieval systems,2
1138,information services,5
1139,information systems,19
1140,information technology,2
1141,information theory,5
1142,information use,6
1143,infrared detectors,4
1144,infrared devices,2
1145,infrared imaging,10
1146,injuries,10
1147,innovation management,17
1148,input output programs,1
1149,inspection,28
1150,installation,1
1151,insulated gate bipolar transistors,1
1152,insurance data processing,1
1153,integer programming,15
1154,integrated circuit design,2
1155,integrated circuit reliability,1
1156,integrated optics,3
1157,integrated optoelectronics,2
1158,integration,6
1159,integrodifferential equations,2
1160,intellectual property,1
1161,intelligent agents,9
1162,intelligent buildings,5
1163,intelligent computing,2
1164,intelligent control,3
1165,intelligent manufacturing systems,5
1166,intelligent materials,1
1167,intelligent robots,9
1168,intelligent sensors,3
1169,intelligent systems,9
1170,intelligent transportation systems,4
1171,intelligent tutoring systems,2
1172,intelligent vehicle highway systems,4
1173,intensity measurement,1
1174,interactive computer graphics,162
1175,interactive computer systems,48
1176,interactive devices,50
1177,interactive systems,83
1178,interactive television,4
1179,interactive video,3
1180,interface states,3
1181,interference suppression,4
1182,internal combustion engines,1
1183,internet,100
1184,internet of things,144
1185,internet protocols,3
1186,internet service providers,2
1187,internetworking,4
1188,interoperability,4
1189,interplanetary flight,1
1190,interpolation,12
1191,interstellar matter,1
1192,intrusion detection,1
1193,inventory control,1
1194,inverse problems,1
1195,investments,9
1196,iodine compounds,1
1197,ionic liquids,1
1198,ionosphere,1
1199,ios,8
1200,ip networks,4
1201,iron and steel industry,1
1202,iso standards,4
1203,iterative methods,34
1204,java,7
1205,jitter,4
1206,job analysis,5
1207,journalism,1
1208,just-in-time,2
1209,kalman filters,9
1210,keyboards,14
1211,kidney,2
1212,kinematics,9
1213,kinetics,1
1214,knobs,4
1215,knowledge acquisition,5
1216,knowledge based systems,11
1217,knowledge engineering,2
1218,knowledge management,9
1219,knowledge representation,2
1220,labeled data,1
1221,labeling,3
1222,laboratories,16
1223,labour resources,2
1224,lagrange multipliers,1
1225,lakes,1
1226,land use,2
1227,landforms,1
1228,language translation,3
1229,laparoscopy,2
1230,laplace equations,1
1231,laptop computers,2
1232,large dataset,8
1233,laser ablation,1
1234,laser applications,2
1235,laser beams,3
1236,laser fusion,1
1237,laser ranging,1
1238,laser surgery,1
1239,lathes,3
1240,law administration,1
1241,laws and legislation,1
1242,lc circuits,1
1243,learning algorithms,195
1244,learning management systems,4
1245,learning systems,53
1246,least mean squares methods,2
1247,least squares approximations,2
1248,led displays,1
1249,led lamps,1
1250,legged locomotion,1
1251,legislation,2
1252,leisure industry,4
1253,lenses,23
1254,libraries,2
1255,library automation,1
1256,lie algebras,1
1257,lie groups,2
1258,life cycle,6
1259,life testing,1
1260,light,11
1261,light emitting diodes,15
1262,light interference,1
1263,light modulation,4
1264,light modulators,6
1265,light pens,1
1266,light polarisation,1
1267,light polarization,1
1268,light propagation,1
1269,light reflection,2
1270,light sources,19
1271,light transmission,1
1272,lighthouses,1
1273,lighting,33
1274,lighting control,1
1275,limiters,1
1276,linear networks,1
1277,linear programming,6
1278,linear transformations,2
1279,linguistics,16
1280,linked data,1
1281,liquid crystal displays,9
1282,liquid crystal on silicon,4
1283,liquid crystals,7
1284,liquid metals,1
1285,liquids,2
1286,literature,2
1287,lithography,2
1288,liver,5
1289,load testing,1
1290,local area networks,3
1291,location,23
1292,location based services,14
1293,locks,3
1294,logic design,2
1295,logic programming,2
1296,logistics,12
1297,logistics data processing,3
1298,long short-term memory,1
1299,long term evolution,5
1300,loudspeakers,2
1301,low power electronics,1
1302,low-pass filters,1
1303,low-power electronics,10
1304,luminance,8
1305,lung,1
1306,lyapunov functions,1
1307,lyapunov methods,1
1308,machine design,13
1309,machine learning,22
1310,machine tools,1
1311,machinery,12
1312,machining,2
1313,magnetic actuators,1
1314,magnetic disc storage,1
1315,magnetic fields,6
1316,magnetic fluids,1
1317,magnetic flux,2
1318,magnetic levitation,2
1319,magnetic resonance imaging,5
1320,magnetic sensors,3
1321,magnetic variables measurement,1
1322,magnetization,1
1323,magneto-optical sensors,1
1324,magnetometers,3
1325,magnetorheology,2
1326,maintenance,19
1327,maintenance engineering,51
1328,mammals,9
1329,man-machine systems,26
1330,manipulator dynamics,3
1331,manipulator kinematics,1
1332,manipulators,20
1333,manned space flight,1
1334,manufacture,17
1335,manufacturing data processing,1
1336,manufacturing industries,5
1337,manufacturing processes,5
1338,manufacturing systems,6
1339,mapping,43
1340,maps,3
1341,marine communication,1
1342,marine education,1
1343,marine engineering,5
1344,marine navigation,3
1345,marine radar,1
1346,marketing,14
1347,marketing data processing,3
1348,marking machines,1
1349,markov processes,9
1350,mars,1
1351,martian surface analysis,1
1352,mass production,1
1353,mastication,1
1354,matched filters,1
1355,material interfaces,4
1356,material saturation,1
1357,materials,1
1358,materials handling,1
1359,materials science computing,1
1360,mathematical models,1
1361,mathematical programming,2
1362,mathematical techniques,1
1363,mathematical transformations,1
1364,mathematics computing,21
1365,matlab,2
1366,matrix algebra,16
